@relation train

@attribute p1 numeric
@attribute p2 numeric
@attribute p3 numeric
@attribute p4 numeric
@attribute p5 numeric
@attribute p6 numeric
@attribute p7 numeric
@attribute p8 numeric
@attribute p9 numeric
@attribute p10 numeric
@attribute p11 numeric
@attribute p12 numeric
@attribute p13 numeric
@attribute p14 numeric
@attribute p15 numeric
@attribute p16 numeric
@attribute p17 numeric
@attribute p18 numeric
@attribute p19 numeric
@attribute p20 numeric
@attribute p21 numeric
@attribute r {TRUE,FALSE}

@data
0.818132,-1.116895,-1.124904,-1.934547,0.259284,0.514445,-0.87681,2.171102,-0.967342,0.601609,0.032648,-1.143655,0.405144,-0.67387,-1.60128,0.272491,0.619271,-0.474557,1.314481,0.277469,-0.686852,FALSE
1.127209,0.036137,1.483331,-0.209945,-1.583969,-0.447496,0.919738,-0.6393,4.123356,0.12271,1.46932,-0.832003,0.000004,-0.604627,-0.657245,-1.188097,-1.619701,0.015849,0.314699,-0.5903,0.014418,FALSE
-0.971195,-0.905669,-1.947325,-1.339265,1.447535,-0.699716,-0.253801,0.723295,0.141161,1.420614,0.188208,-2.665083,-1.200267,-1.697706,-1.799861,-0.845471,1.876365,-1.021215,-0.353522,3.150553,1.91082,FALSE
0.546726,-0.70173,1.290089,-0.74992,-0.824665,-1.867276,-0.130282,0.063107,1.504595,-0.835105,0.996631,-1.627818,1.880911,-0.567082,-1.318976,-1.601643,-0.813761,0.73967,0.597067,1.939758,0.697459,FALSE
1.217996,-0.433424,-0.223653,-1.007007,0.168729,-0.20003,-1.743379,-0.632998,-0.658137,-0.219139,-1.209954,-0.267359,-0.108989,-0.489177,-1.335496,0.890606,1.290843,0.304068,-1.326424,-0.662958,1.328444,TRUE
0.660776,-0.231526,-1.090088,-0.78007,0.168839,0.047745,-2.044861,-1.460022,0.05522,0.653789,-0.601672,-0.570796,0.165183,0.828326,-1.706559,-0.417522,0.18519,3.159699,-0.296874,-0.157456,-0.580064,TRUE
0.118907,-1.78756,-1.501436,0.845333,-0.716335,-0.62372,-0.542713,-1.697938,1.17855,0.715388,-0.599584,-1.636896,0.237578,0.529811,-1.773724,1.180773,1.642938,2.41551,-1.012807,0.740792,-1.139872,TRUE
-1.468368,-0.82632,-1.337336,0.638276,-0.409038,-0.737046,-0.877226,-1.716928,-0.232873,2.558225,0.330743,-0.482771,-0.854881,0.600377,-2.532041,-0.68914,-0.324359,-0.196035,-0.088383,4.711607,-1.081744,TRUE
0.935901,-0.579226,0.114934,-0.182622,-0.625727,0.355608,0.131906,-1.08522,0.175176,0.599526,0.505307,-1.793646,-0.172133,0.087902,-2.966682,-0.645945,-0.502381,-0.736363,-0.62969,1.812679,0.264325,FALSE
0.891213,3.791401,0.219949,-0.431239,1.135831,0.349483,-0.848653,-1.098743,-1.058952,-0.369704,-0.021139,0.224174,-0.263156,0.840582,-2.33819,-1.978875,-0.502348,-2.232043,-1.153048,0.691612,-1.235521,TRUE
0.710717,0.487402,-1.471819,-1.404642,1.500142,-0.232812,-0.314115,0.336498,0.5433,-0.320215,-0.126075,-1.681279,0.532675,0.389971,0.816803,-0.502295,-0.211571,0.312616,-0.510801,0.220623,-1.110212,FALSE
-0.423462,-0.989329,-0.621372,-0.424363,0.442859,-0.212813,-1.958702,-2.275622,-0.93565,0.141738,-0.900459,-0.219374,-1.072966,-0.399006,-0.660617,0.715329,8.534081,-0.952532,-0.724234,-0.528913,-0.361135,TRUE
-1.403308,-2.270379,3.084334,-0.821446,0.326634,0.961906,-1.197357,-2.487192,-0.289592,1.755148,1.256922,-1.566792,-0.686352,1.290153,-3.1337,-0.782726,0.706966,-2.403707,0.98576,1.358844,-0.012852,TRUE
-0.791495,-2.186655,0.513951,0.657986,-0.350834,-0.878628,-0.167833,0.260574,-0.50439,-0.203378,-0.734148,-1.223079,-0.827413,-1.227124,-1.240469,1.39135,1.72138,-0.406145,-1.531683,0.569178,2.342066,TRUE
0.250955,-0.03989,1.383593,3.685029,0.606893,-0.195827,0.574928,-0.068644,-0.715545,-0.538885,1.63033,-0.898939,-1.262232,-0.384044,-2.098993,-1.561689,-0.962833,-1.76607,-0.783753,0.279629,-0.791925,FALSE
0.269772,0.941965,-1.572913,-1.816909,1.71733,0.755333,-1.697402,-1.233562,-1.115619,0.416107,-1.240847,-0.920107,-0.548703,1.827912,-1.358563,1.694428,1.2117,-1.886685,-0.704851,-0.244427,0.295029,TRUE
0.157191,-0.984948,-0.851435,-1.051179,0.204218,0.656826,-1.719785,-1.97835,-0.47855,1.708701,-0.479573,-0.144907,-0.747276,2.562031,-1.19561,0.067306,0.96583,-0.896,-1.22521,-0.551014,0.01064,TRUE
1.194386,-0.723687,-0.734769,3.562372,-0.06339,-1.389696,0.205851,-1.482376,3.708451,0.012103,0.167173,-0.667142,-0.319535,-0.939142,-2.69603,-0.399233,-0.252818,-0.581222,-2.131217,1.792051,-1.188862,TRUE
0.066967,-0.910524,-0.531125,-1.189993,0.007054,-0.210279,-1.114646,-0.287405,0.915408,0.593031,-0.090018,-0.178268,0.334366,0.357491,-0.794302,-0.007932,0.457237,-0.616352,-1.03405,-0.804715,0.773424,TRUE
-0.844036,-2.31289,-0.906277,-0.104284,-0.31476,-1.073816,-1.089804,-1.422601,0.188221,1.805074,-0.004005,-0.719833,0.609594,-0.951948,-1.181182,0.86558,1.603663,0.062607,-0.788719,0.285581,1.640902,TRUE
-1.024837,-2.093706,-1.545963,-1.218279,0.627815,0.517067,-1.714412,0.544571,-0.657397,-1.406329,-2.121118,-0.64671,0.424265,-0.594689,-1.865909,-0.047091,-0.45281,2.286744,-1.874256,0.554516,6.708041,FALSE
-0.129978,-0.902554,-1.32471,-1.14065,0.582862,-0.452011,-1.55863,-1.170855,1.64064,0.148539,-1.02049,-0.174853,0.198987,0.397493,0.269134,1.833872,0.752765,-0.039552,-0.938013,-1.232306,0.913583,TRUE
0.061988,-0.928396,-0.102954,-0.713604,-0.70289,-0.681446,-1.53063,-1.267608,0.424376,0.724137,-1.337434,-0.028941,-0.261525,-0.697954,-0.91587,1.980378,1.257969,-0.87869,2.83004,-0.482082,0.690778,TRUE
-0.319917,-0.877228,-0.47004,-1.390653,-0.176568,0.721119,-0.874762,-0.029255,0.899971,0.22815,-0.495106,0.05131,2.042905,0.282819,-1.049009,-0.321201,-0.599077,0.079092,-1.626031,-0.851513,0.260852,TRUE
0.369561,-1.66286,-2.571291,-1.319741,0.829075,-0.247186,-1.712953,-1.221878,1.058048,1.625154,-1.257928,-0.778827,0.149073,0.114708,-2.097753,1.570376,1.284866,1.740026,-1.330162,0.496293,-0.004535,TRUE
0.223144,-3.009799,-1.675985,-0.759542,0.178463,-1.04912,0.51881,-0.602238,1.802992,0.058376,-1.551107,-1.004659,1.429562,-1.851437,-1.861882,1.560648,1.222059,2.570689,-2.379414,1.602147,0.936829,TRUE
4.396835,2.626731,-0.58778,-0.545954,1.211566,-0.520479,-0.198965,0.646957,-0.729727,-0.954603,0.321961,-1.970485,-1.062624,-0.24773,-0.601961,-1.036888,-0.36181,-1.871511,-0.018913,-0.449934,-0.733458,FALSE
10.207052,1.479231,-1.48943,-1.314922,0.525592,-0.097378,-1.296532,-0.31684,-0.375071,-1.393693,-0.960536,-0.291643,-0.844413,-0.315989,-0.924042,-0.43064,-1.182875,0.434239,-1.626159,-1.83473,-0.733139,FALSE
